Адрес|Высота потолка|Год постройки|Идентификатор|Материал|Мебель|Общая площадь|Описание|Площадь кухни|Ремонт|Цена|Этаж
3 комнатная квартира  в районе МЖК, ул. Широтная, 150, г. Тюмень|NA|1992|484678|Панель|Частично|65 м²|Трехкомнатная квартира в районе улиц Монтажников и Широтная в отдалении от шума. При продаже остается частично мебель и бытовая техника - кухонный гарнитур со встроенной техникой, холодильник, шкаф в прихожей, угловой диван, мебель в ванной.|10 м²|Хороший ремонт|6 000 000 ₽|2 из 9
Студия в районе Лесобаза (Тура), ул. Западносибирская, 22/1, г. Тюмень|NA|2012|462640|Панель|Полностью|24.8 м²|Продается квартира-студия. В квартире выполнен ремонт, остается все для проживания. Данный микрорайон находится в нескольких минутах от центра города. В шаговой доступности школа, детский сад, множество магазинов, аптек. Звоните организуем просмотр в удобное время для Вас. Поможем в оформлении ипотеки.|4 м²|Обычное состояние|2 580 000 ₽|9 из 9
Многокомнатн. квартира  в районе с. Сосновое, ул. Октября, 16, п. Богандинский|NA|1991|282813|Кирпич|NA|133.8 м²|"Большая квартира для большой и дружной семьи! Планировка - ""распашонка"" обеспечивает дневной свет и солнце в квартире целый день. Имеется две большие лоджии. Небольшой микрорайон окружен со всех сторон сосновым лесом. Есть школа и детский сад. Звоните!"|12 м²|Обычное состояние|3 000 000 ₽|3 из 5
4 комнатная квартира  в районе Тюменская слобода, ул. Александра Протозанова, 8/1, ЖК «Преображенский», г. Тюмень|NA|2020|463424|Монолитный|Без мебели|137 м²|Продаётся просторная квартира с шикарным видом из окна. Дом новый, сделана улучшенная черновая отделка. Есть панорамные окна. Рядом с домом построили новый детский сад, школу и поликлинику. В шаговой доступности все необходимые магазины и организации.|25.4 м²|Улучшенная черновая|9 200 000 ₽|20 из 23
4 комнатная квартира  в 3 микрорайоне, ул. Широтная, 69, г. Тюмень|NA|1977|425792|Панель|NA|75.9 м²|"Классная квартира в самом центре уютного , комфортного района с развитой инфраструктурой. Идеальный вариант для семьи, в окрестностях дома муниципальные детские сады, школа, поликлиника, близость ""ТЦ Солнечный"", зеленая зона для прогулок- "" сквер Депутатов"" , в котором располагается православный храм. А так же в шаговой доступности обстановка общественного транспорта с множеством различных маршрутов. В доме произведен капитальный ремонт крыши, придомовой территории, подъездов с заменой окон. Минимум соседей на лестничной площадке . Все тихие и спокойные , без опасения можно оставить детскую коляску или велосипед на межэтажной площадке. В квартире сделано переустройство, с предпочтением увеличения кухонной зоны. Перепланировка узаконена! Огромным достоинством является крайний этаж, нет шума над головой. При продаже остается часть мебели. Подробности по телефону. Звоните!"|10 м²|Хороший ремонт|4 750 000 ₽|5 из 5
1 комнатная квартира  в районе Мыс, ул. Беляева, 35/1, |2.7 м|2016|467611|Монолитно-кирпичный|Полностью|34.5 м²|"В новом, современном доме, предлагаем приобрести чистую, светлую квартиру. Выполнен ремонт. Вместительный балкон 4,7 кв.м. Отличный микрорайон, рядом Торговый Центр ""Сити Молл"". Очень комфортная транспортная развязка."|10 м²|Обычное состояние|3 700 000 ₽|6 из 19
2 комнатная квартира  в районе Ожогина / Патрушева, ул. Александра Митинского, 7/1, |NA|2019|482618|Панель|Полностью|59 м²|Предлагаем вам двухкомнатную квартиру с дизайнерским ремонтом. Выполнен ремонт из качественных материалов, установлен кухонный гарнитур. В квартире остается вся мебель, установлен шкаф-купе. Есть действующий детский сад, строится новый. Закрытый двор, видеонаблюдение. Сквер, большой бульвар. Возможна продажа в ипотеку. Один собственник, документы готовы к продаже.|9 м²|Дизайн-проект|5 700 000 ₽|16 из 16
Студия, ул. Центральная, 24А, с. Онохино|NA|2014|472870|Кирпич|Полностью|40 м²|"Вашему вниманию просторная студия в с.Онохино, где есть вся инфраструктура и свежайший чистый воздух! При продаже в квартире остаётся всё, что на фото. Дом находится в непосредственной близости от школы (50м), детского сада (300м), магазины ""Пятёрочка"", ""Магнит"". Так же в селе есть больница, школа искусств, сбербанк. Квартира свободна от проживания. Звоните! Ключи на руках!"|5 м²|Обычное состояние|1 600 000 ₽|4 из 4
4 комнатная квартира  в Восточном мкрн., ул. Народная, 10, г. Тюмень|NA|2002|252671|Панель|NA|110.8 м²|Предлагается к реализации, просторная квартира в тихом районе. Хороший, чистый двор, верхний этаж, в квартире светло, тепло и уютно. в шаговой доступности школа, детский сад, крупные и мелкие магазины. Отличная транспортная развязка.|13.7 м²|Обычное состояние|5 950 000 ₽|10 из 10
1 комнатная квартира  в Восточном 2 мкрн., ул. Энергостроителей, 22, г. Тюмень|2.65 м|2011|468533|Кирпич|Частично|38.8 м²|"Продаю красивую квартиру в Восточном, отличный развитый район Тюмени. Мебель в квартире новая, порядочные соседи и чистый подъезд. Шикарная площадь квартиры - 38.8кв.м. и кухня-гостиная. Свежая транспортная развязка - район разгружен, рядом магазин ""Окей"", парк ""Серебряные ключи"", в 7 минутах езды ""Пруд Лесной"". Рядом детские садики, до школы 4 минуты ходьбы. Ближайший продуктовый будет расположен прямо в Вашем новом доме, ателье, школа танцев, тсж - всё в этом же дворе и доме. Есть своя газовая котельная - нет переплат по коммунальным платежам, лифт, во дворе хорошая детская площадка и достаточное количество парковочных мест."|11 м²|Хороший ремонт|3 300 000 ₽|8 из 10
2 комнатная квартира  в районе КПД (Геологоразведчиков), ул. проезд Геологоразведчиков, 55, г. Тюмень|2.7 м|1974|445707|Кирпич|NA|45.6 м²|Продается уютная двухкомнатная квартира в хорошем районе с хорошим ремонтом, пластиковые окна, межкомнатные двери, натяжные потолки. В шаговой доступности школа №17, детский сад, остановки общественного транспорта, сеть магазинов, кафе, банк, аптеки. Квартира находится на первом этаже, окна выходят на дорогу, отлично подойдет под коммерческую площадь.|9 м²|Хороший ремонт|4 050 000 ₽|1 из 9
